post_no,type,writer,body,time
926901485,comment,Kitchen B1,석식2코너 브로콜리흑임자무침에서 고구마샐러드로 변경되었습니다.,2023년 10월 31일
926901485,comment,Kitchen B1,석식1코너 나주곰탕은 품절되었습니다.,2023년 10월 31일
926901486,body,Kitchen B1,"[COURSE1]
짜글이김치찌개, 쌀밥&계란프라이, 미트볼케첩조림, 숙주나물무침, 김자반볶음
990kcal(단백질:50g)Na함량:1176mg(염도:0.7%)
[COURSE2]
피자치킨까스&구운채소, 흑임자밥(소), 옥수수크림스프, 모닝빵&딸기잼, 블루베리무피클
853kcal(단백질:31g)Na함량:1182mg(염도:0.8%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/깍두기",2023년 11월 1일 오전 11:19
926901486,comment,Kitchen B1,중식1코너 쌀밥&계란프라이 에서 쌀밥&스크램블에그로 변경되었습니다.,2023년 11월 1일
926901487,body,Kitchen B1,"[COURSE1]
철판백순대볶음, 잡곡밥, 호박감자국, 멸치견과볶음, 무쌈, 순대양념장
988kcal(단백질:24g)Na함량:1156mg(염도:0.7%)
[COURSE2]
매콤국물떡볶이, 유부국물, 모듬튀김, 적채무초절임
783kcal(단백질:20g)Na함량:1136mg(염도:0.7%)
[샐러드바]
그린샐러드, 살사푸실리샐러드, 건빵튀김
현미밥/백미밥, 포기김치/석박지",2023년 11월 1일 오후 6:08
926901487,comment,Kitchen B1,석식2코너 매콤국물떡볶이는 품절되었습니다.,2023년 11월 1일
926901488,body,Kitchen B1,"[COURSE1]
<제철식재-유자>차돌짬뽕, 쌀밥(소), 유자소스탕수육, 짜사이무침
987kcal(단백질:57g)Na함량:1197mg(염도:0.8%)
[COURSE2]
<제철식재-꼬막>꼬막영양밥*부추양념장, 된장찌개, 섭산적구이&파채무침, 알감자조림, 가지양념나물
737kcal(단백질:28g)Na함량:1153mg(염도:0.7%)
[샐러드바]
그린샐러드, 코울슬로샐러드, 식혜
현미밥/백미밥, 포기김치/깍두기",2023년 11월 2일 오전 10:56
926901488,comment,Kitchen B1,중식1코너 차돌짬뽕은 품절되었습니다.,2023년 11월 2일
926901489,body,Kitchen B1,"[COURSE1]
오징어볶음&소면사리, 잡곡밥, 미역국, 둥근어묵조림, 시래기나물
832kcal(단백질:40g)Na함량:1176mg(염도:0.7%)
[COURSE2]
소불고기달걀덮밥, 김치국, 연두부샐러드&발사믹D, 고들빼기무침
895kcal(단백질:35g)Na함량:1166mg(염도:0.7%)
[샐러드바]
그린샐러드, 연근샐러드, 알새우칩
현미밥/백미밥, 포기김치/깍두기",2023년 11월 2일 오후 6:19
926901490,body,Kitchen B1,"[COURSE1]
매콤닭두루치기&파채, 잡곡밥, 조랭이떡국, 느타리버섯볶음, 모듬채소겉절이
731kcal(단백질:26g)Na함량:1156mg(염도:0.7%)
[COURSE2]
불고기할라피뇨볶음밥, 다시마무채국, 삼색겨자채무침, 고구마맛탕
867kcal(단백질:20g)Na함량:1178mg(염도:0.7%)
[샐러드바]
그린샐러드, 오렌지, 팝콘
현미밥/백미밥, 포기김치/석박지",2023년 11월 3일 오전 11:09
926901490,comment,Kitchen B1,1코스 느타리버섯볶음에서 계란장조림으로 변경되었습니다,2023년 11월 3일
926901490,comment,Kitchen B1,중식 1코스 매콤 닭두루치기&파채 품절되었습니다.,2023년 11월 3일
926901491,body,Kitchen B1,"[COURSE1]
시래기되비지찌개, 잡곡밥, 비엔나소시지케첩볶음, 명엽채볶음, 청포묵김가루무침
830kcal(단백질:38g)Na함량:1104mg(염도:0.7%)
[샐러드바]
그린샐러드, 멕시칸샐러드, 감식초
현미밥/백미밥, 포기김치/깍두기",2023년 11월 3일 오후 6:05
926901493,body,kitchen B1,"[COURSE1]
누룽지봉추찜닭, 잡곡밥, 다시마무채국, 탕평채, 오복지무침
956kcal(단백질:61g)Na함량:1167mg(염도0.7:%)
[COURSE2]
소고기미나리볶음밥&계란프라이, 맑은팽이버섯국, 청파래오징어까스&타르타르소스, 두부쑥갓나물
914kcal(단백질:45g)Na함량:1129mg(염도:0.6%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/석박지",2023년 11월 6일 오전 11:11
926901494,body,kitchen B1,"[COURSE1]
버섯소불고기, 잡곡밥, 매콤두부조림, 숙주나물, 우엉파프리카조림
812kcal(단백질:38g)Na함량:1167mg(염도:0.7%)
[COURSE2]
팟카파오무쌉, 쌀국수국물, 모듬춘권*칠리소스, 레몬양파초절임
978kcal(단백질:26g)Na함량:1148mg(염도:0.6%)
[샐러드바]
그린샐러드, 렌틸콩유자샐러드, 살구주스
현미밥/백미밥, 포기김치/깍두기",2023년 11월 6일 오후 6:16
926901495,body,Kitchen B1,"[COURSE1]
치즈부대찌개, 잡곡밥, 깻잎채전, 미니새송이버섯볶음, 반반콩자반
986kcal(단백질:46g)Na함량:1188mg(염도:0.8%)
[COURSE2]
야채듬뿍하이라이스, 미소장국, 멘치까스&돈까스소스, 양배추적채초절임
962kcal(단백질:20g)Na함량:1079mg(염도:0.6%)
[샐러드바]
그린샐러드, 바나나, 석류차
현미밥/백미밥, 포기김치/깍두기",2023년 11월 7일 오전 11:05
926901495,comment,Kitchen B1,1코스 미니새송이버섯볶음에서 김자반으로 변경되었습니다.,2023년 11월 7일
926901495,comment,kitchen B1,1코스 치즈부대찌개 품절되었습니다.,2023년 11월 7일
926901495,comment,Kitchen B1,2코스 멘치까스 돈까스소스->머스타드소스로 변경되었습니다.,2023년 11월 7일
926901496,body,Kitchen B1,"[COURSE1]
바지락칼제비, 쌀밥(소), 어니언떡갈비구이, 고추지무침
922kcal(단백질:32g)Na함량:1189mg(염도:0.8%)
[COURSE2]
오징어돈육불고기, 잡곡밥, 콩가루배추국, 감자채피망볶음, 참나물겉절이
693kcal(단백질:34g)Na함량:1105mg(염도:0.6%)
[샐러드바]
그린샐러드, 실곤약샐러드, 초코쿠키
현미밥/백미밥, 포기김치/깍두기",2023년 11월 7일 오후 6:11
926901496,comment,무명1,바지락 원산지알려주세요,2023년 11월 7일
926901496,comment,Kitchen B1,@무명1 안녕하세요~ 바지락 중국산으로 제공드렸습니다!,11월 7일 오후 8:00
926901496,comment,Kitchen B1,석식1코너 바지락칼제비는 품절되었습니다.,2023년 11월 7일
926901498,body,Kitchen B1,"[COURSE1]
불고기퀘사디아, &양념감자튀김, 콜드파스타, 오이피클, 탄산음료
742kcal(단백질:17g)Na함량:1176mg(염도:0.7%)
[COURSE2]
돼지양념구이*양파볶음, 잡곡밥, 얼갈이된장국, 무생채, 적상추*쌈장
868cal(단백질:37g)Na함량:1102mg(염도:0.6%)
[샐러드바]
그린샐러드, 누룽지샐러드, 허니꿀짱
현미밥/백미밥, 포기김치/깍두기",2023년 11월 8일 오전 11:09
926901499,body,Kitchen B1,"[COURSE1]
닭개장, 잡곡밥, 식물성런천미트전*파채, 맛살브로콜리볶음, 풋고추양파된장무침
790kcal(단백질:32g)Na함량:1168mg(염도:0.6%)
[COURSE2]
참치마요데리야끼덮밥, 유부국, 감자고로케*케첩, 유자채단무지
752kcal(단백질:24g)Na함량:1185mg(염도:0.8%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/석박지",2023년 11월 8일 오후 6:12
926901499,comment,Kitchen B1,석식1코너 닭개장은 품절되었습니다.,2023년 11월 8일
926901501,body,Kitchen B1,"[COURSE1]
사골우거지탕, 잡곡밥, 야채계란말이, 시금치나물, 깐마늘장아찌
708kcal(단백질:30g)Na함량:1150mg(염도:0.6%)
[COURSE2]
오야꼬동, 김치국, 과일샐러드, 해초무침
829kcal(단백질:26g)Na함량:1183mg(염도:0.8%)
[샐러드바]
그린샐러드, 과일푸딩, 생강대롱
현미밥/백미밥, 포기김치/깍두기",2023년 11월 9일 오후 6:09
926901501,comment,Kitchen B1,석식2코스 해초무침 대체로 깐마늘장아찌가 제공됩니다,2023년 11월 9일
926901501,comment,Kitchen B1,석식2코스 과일샐러드 대체로 고구마샐러드가 제공됩니다,2023년 11월 9일
926901503,body,Kitchen B1,"[COURSE1]
뚝배기날치알밥, 미니우동, 타코야끼, 락교무침
831kcal(단백질:21g)Na함량:1195mg(염도:0.8%)
[COURSE2]
고등어구이정식, 잡곡밥, 근대된장국, 부들어묵볶음, 청경채겉절이
941kcal(단백질:33g)Na함량:1192mg(염도:0.8%)
[샐러드바]
그린샐러드, 후르츠콘샐러드, 수정과
현미밥/백미밥, 포기김치/석박지",2023년 11월 10일 오전 11:05
926901503,comment,Kitchen B1,1코스 뚝배기날치알밥 품절되었습니다.,2023년 11월 10일
926901503,comment,Kitchen B1,1코스 품절로 2코스 추가찬 순두부 샐러드 제공됩니다.,2023년 11월 10일
926901504,body,kitchen B1,"[COURSE1]
전주콩나물국밥*새우젓, 잡곡밥, 모듬장조림, 단호박타락묵, 열무된장나물
683kcal(단백질:37g)Na함량:1171mg(염도:0.7%)
[샐러드바]
그린샐러드, 천사채샐러드, 계란과자
현미밥/백미밥, 포기김치/깍두기",2023년 11월 10일 오후 6:08
926901506,body,Kitchen B1,"[COURSE1]
베트남쌀국수, 짜조&어린잎, 레몬양파절임, 해선장*스위트칠리
902kcal(단백질:33g)Na함량:1158mg(염도:0.7%)
[COURSE2]
통마늘돼지불백, 잡곡밥, 아욱된장국, 숙주나물무침, 브로콜리숙회*초고추장
883kcal(단백질:53g)Na함량:1193mg(염도:0.8%)
[샐러드바]
그린샐러드, 과일푸딩, 매실차
현미밥/백미밥, 포기김치/깍두기",2023년 11월 13일 오전 11:12
926901507,body,Kitchen B1,"[COURSE1]
사골만두전골, 잡곡밥, 오징어채소무침, 멸치견과볶음, 궁채절임
953kcal(단백질:37g)Na함량:1011mg(염도:0.5%)
[COURSE2]
산채들기름비빔밥, 미역국, 피쉬커틀릿&크리미어니언S, 우엉참깨무침, 약고추장
987kcal(단백질:35g)Na함량:1148mg(염도:0.6%)
[샐러드바]
그린샐러드, 요거트 ,토핑3종
현미밥/백미밥, 포기김치/석박지",2023년 11월 13일 오후 6:12
926901507,comment,Kitchen B1,석식2코너 산채들기름비빔밥은 품절되었습니다.,2023년 11월 13일
926901509,body,Kitchen B1,"[COURSE1]
참치김치찌개, 잡곡밥, 한식잡채, 사각어묵볶음, 시래기들깨지짐
793kcal(단백질:31g)Na함량:1177mg(염도:0.7%)
[COURSE2]
삼색도리야끼덮밥, 미소시루, 새우튀김*타르타르소스, 맑은오이지무침
826kcal(단백질:37g)Na함량:1124mg(염도:0.6%)
[샐러드바]
그린샐러드, 모듬콩샐러드, 알새우칩
현미밥/백미밥, 포기김치/석박지",2023년 11월 14일 오전 11:01
926901510,body,kitchen B1,"[COURSE1]
두절가자미구이, 잡곡밥, 몽글몽글순두부탕*양념장, 호박볶음, 양념깻잎지
716kcal(단백질:30g)Na함량:1012mg(염도:0.5%)
[COURSE2]
바질크림떡볶이, 모듬튀김(맛감자, 오징어볼), 블루베리무피클, 탄산음료
997kcal(단백질:32g)Na함량:1167mg(염도:0.7%)
[샐러드바]
그린샐러드, 바나나칩샐러드, 자몽차
현미밥/백미밥, 포기김치/깍두기",2023년 11월 14일 오후 5:58
926901510,comment,무명1,"생선 원산지
알려주세요",2023년 11월 14일
926901510,comment,Kitchen B1,@무명1 고객님 오늘 제공된 가자미는 러시아산 입니다.,11월 14일 오후 7:55
926901510,comment,무명1,원산지 어디 다른곳에 따로 올려두시나요? 여기만 누락되어 있는 것인지 궁금합니다.,2023년 11월 14일
926901510,comment,Kitchen B1,"@무명1 법적으로 원산지 표기대상이 되는 품목은 식당내부에 게시된 일일게시메뉴로 확인이 가능하시며, 가자미는 원산지 표기 법적 대상이 아니므로 궁금하신 원산지가 있으시면 언제든지 알려드리겠습니다!^^",11월 14일 오후 7:58
926901510,comment,Kitchen B1,석식2코스 바질크림떡볶이 품절되었습니다,2023년 11월 14일
926901511,body,kitchen B1,"[COURSE1]
철판훈제오리볶음&구운양파, 잡곡밥, 얼큰수제비국, 게맛살미역줄기볶음, 무쌈*머스타드소스
832kcal(단백질:30g)Na함량:1155mg(염도:0.7%)
[COURSE2]
아몬드크럼블돈까스, 쌀밥(소), 단호박크림수프, 프렌치토스트, 한입단무지
982kcal(단백질:39g)Na함량:1017mg(염도:0.5%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 배추겉절이, 깍두기",2023년 11월 15일 오전 11:03
926901511,comment,Kitchen B1,중식 2코스 프렌치토스트 대체로 애플파이 제공됩니다.,2023년 11월 15일
926901513,body,kitchen B1,"[COURSE1]
해물볶음우동, 맑은팽이버섯국, 아게다시도후, 락교&초생강
956kcal(단백질:30g)Na함량:1052mg(염도:0.6%)
[COURSE2]
돼지국밥*다대기, 잡곡밥, 옛날소시지전, 쥐어채볶음, 부추겉절이, 새우젓
860kcal(단백질:36g)Na함량:1135mg(염도:0.7%)
[샐러드바]
그린샐러드, 코울슬로샐러드, 크래커
현미밥/백미밥, 포기김치/석박지",2023년 11월 15일 오후 6:17
926901516,body,Kitchen B1,"[COURSE1]
양지탕, 잡곡밥, 고추장떡, 감자조림, 오징어젓무생채
738kcal(단백질:26g)Na함량:1059mg(염도:0.6%)
[COURSE2]
수프카레, 곤약쌀밥, 고로케*케첩, 꼬들단무지
720kcal(단백질:31g)Na함량:1070mg(염도:0.6%)
[샐러드바]
그린샐러드, 쿠스쿠스샐러드, 고구마스틱
현미밥/백미밥, 포기김치/깍두기",2023년 11월 16일 오전 10:56
926901516,comment,Kitchen B1,중식2코스 수프카레 품절되었습니다.,2023년 11월 16일
926901517,body,Kitchen B1,"[COURSE1]
뼈없는닭갈비, 잡곡밥, 맑은감자국, 얼갈이나물, 삼색겨자채무침
839kcal(단백질:35g)Na함량:1114mg(염도:0.7%)
[COURSE2]
햄마늘쫑볶음밥&계란프라이, 다시마무채국, 찰도그롤*케찹, 고구마순나물
732kcal(단백질:24g)Na함량:1121mg(염도:0.7%)
[샐러드바]
그린샐러드, 멕시칸샐러드, 수정과
현미밥/백미밥, 포기김치/깍두기",2023년 11월 16일 오후 6:20
926901517,comment,Kitchen B1,석식2코너 햄마늘쫑볶음밥은 품절되었습니다.,2023년 11월 16일
926901518,body,Kitchen B1,"[COURSE1]
매콤비빔국수, 사골파국, 수제육전&파채무침, 귤
652kcal(단백질:30g)Na함량:1110mg(염도:0.7%)
[COURSE2]
우렁강된장찌개, 버섯콩나물밥, 계란찜, 무말랭이무침, 구운김, 귤
808kcal(단백질:37g)Na함량:1123mg(염도:0.7%)
[샐러드바]
그린샐러드, 식혜
현미밥/백미밥, 포기김치/석박지",2023년 11월 17일 오전 11:11
926901518,comment,Kitchen B1,중식2코너 우렁강된장찌개->바지락강된장찌개로 변경되었습니다.,2023년 11월 17일
926901518,comment,Kitchen B1,중식2코너 무말랭이무침에서 간장무채장아찌로 변경되었습니다.,2023년 11월 17일
926901518,comment,Kitchen B1,중식2코너는 품절되었습니다.,2023년 11월 17일
926901519,body,kitchen B1,"[COURSE1]
모듬어묵전골*와사비장, 잡곡밥, 떡갈비채소볶음, 연근땅콩조림, 오이양파무침
967kcal(단백질:45g)Na함량:1114mg(염도:0.7%)
[샐러드바]
그린샐러드, 연근샐러드, 깨강정
현미밥/백미밥, 포기김치/깍두기",2023년 11월 17일 오후 5:51
926901521,body,Kitchen B1,"[COURSE1]
소고기숙주볶음, 잡곡밥, 호박감자국, 게맛살채소볶음, 고들빼기무침
675kcal(단백질:29g)Na함량:1164mg(염도:0.7%)
[COURSE2]
매콤열무돈육덮밥, 다시마무채국, 청파래오징어까스*타르타르소스, 오복지무침
773kcal(단백질:31g)Na함량:1194mg(염도:0.8%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/깍두기",2023년 11월 20일 오전 11:04
